,county,n,p,k
0,Baringo,88.17,28.72,56.3
1,Bomet,119.99,25.89,54.32
2,Bungoma,96.38,25.64,49.28
3,Busia,75.69,24.82,47.82
4,Elgeyo-Marakwet,121.07,27.39,53.09
5,Embu,84.7,27.31,52.76
6,Garissa,54.71,26.97,51.84
7,Homa Bay,84.85,29.1,54.96
8,Isiolo,51.69,27.77,56.81
9,Kajiado,72.57,29.11,59.16
10,Kakamega,83.5,23.82,47.76
11,Kericho,121.73,25.37,53.71
12,Kiambu,114.04,28.24,55.67
13,Kilifi,62.54,24.34,48.74
14,Kirinyaga,113.18,29.03,54.31
15,Kisii,112.2,21.84,51.24
16,Kisumu,84.34,29.26,54.61
17,Kitui,60.9,26.43,53.42
18,Kwale,62.86,25.81,49.02
19,Laikipia,85.58,30.19,58.59
20,Lamu,80.16,23.45,47.31
21,Machakos,69.38,26.65,54.57
22,Makueni,67.67,26.25,53.68
23,Mandera,58.57,27.86,55.22
24,Marsabit,61.73,28.34,56.67
25,Meru,96.12,28.48,55.27
26,Migori,78.87,25.82,52.75
27,Mombasa,73.17,24.66,47.7
28,Murang'a,116.25,27.39,53.98
29,Nairobi,83.9,29.17,57.14
30,Nakuru,108.59,28.39,58.67
31,Nandi,119.24,24.94,51.17
32,Narok,93.71,28.12,56.96
33,Nyamira,124.16,22.49,51.42
34,Nyandarua,127.52,28.32,56.54
35,Nyeri,132.16,28.01,55.12
36,Samburu,69.7,29.04,56.43
37,Siaya,76.15,26.29,51.64
38,Taita Taveta,60.72,26.9,54.64
39,Tana River,50.97,27.66,56.54
40,Tharaka-Nithi,86.48,27.76,50.81
41,Trans Nzoia,111.11,25.57,52.33
42,Turkana,64.03,29.44,56.1
43,Uasin Gishu,103.65,26.21,54.86
44,Vihiga,95.59,21.76,48.74
45,Wajir,53.73,28.3,56.33
46,West Pokot,87.16,27.92,54.34
