,Title,Category,Latitude,Longitude,geometry,county,subcounty,ward,centroid
0,Jumbo Agrovet Limited,Agrochemicals supplier,-1.2885866,36.8284003,POINT (36.8284003 -1.2885866),Nairobi,Starehe  Sub County,Nairobi Central Ward,POINT (36.824809527717356 -1.2852558043391356)
1,Skylab Cropcare Limited/ Agrovet,Hardware store,-1.28563,36.830521,POINT (36.830521 -1.28563),Nairobi,Starehe  Sub County,Nairobi Central Ward,POINT (36.824809527717356 -1.2852558043391356)
2,"Farmers World Limited-(Agrovet), Nairobi",Agricultural service,-1.2789934,36.82042,POINT (36.82042 -1.2789934),Nairobi,Starehe  Sub County,Nairobi Central Ward,POINT (36.824809527717356 -1.2852558043391356)
3,Masimba Agrovet Ltd,Agrochemicals supplier,-1.2772066,36.9085091,POINT (36.9085091 -1.2772066),Nairobi,Embakasi Central Sub County,Kayole South Ward,POINT (36.913987817584676 -1.2778353677648795)
4,Kasarani Agrovet online deliveries Nairobi,Animal feed store,-1.2170228,36.8953518,POINT (36.8953518 -1.2170228),Nairobi,Kasarani  Sub County,Kasarani Ward,POINT (36.89186338992849 -1.228744468926531)
5,AGRIGUARD Agrovet,Agrochemicals supplier,-1.2830722,36.823876,POINT (36.823876 -1.2830722),Nairobi,Starehe  Sub County,Nairobi Central Ward,POINT (36.824809527717356 -1.2852558043391356)
6,Ciira Agrovet Supplies Limited,Agricultural service,-1.2807645,36.8244836,POINT (36.8244836 -1.2807645),Nairobi,Starehe  Sub County,Nairobi Central Ward,POINT (36.824809527717356 -1.2852558043391356)
7,Arise And Shine Agrovet,Fertilizer supplier,-1.2884592,36.8302991,POINT (36.8302991 -1.2884592),Nairobi,Starehe  Sub County,Nairobi Central Ward,POINT (36.824809527717356 -1.2852558043391356)
8,Kahawa West Agrovet Services,Animal feed store,-1.1835391,36.9004487,POINT (36.9004487 -1.1835391),Nairobi,Roysambu  Sub County,Kahawa,POINT (36.90626171541014 -1.191511646330229)
9,Mifugo Agrovet centre,Agrochemicals supplier,-1.2882678,36.828985,POINT (36.828985 -1.2882678),Nairobi,Starehe  Sub County,Nairobi Central Ward,POINT (36.824809527717356 -1.2852558043391356)
10,Wibiliv Wakulima Mashinani Agrovet,Agricultural service,-1.2866874,36.8275651,POINT (36.8275651 -1.2866874),Nairobi,Starehe  Sub County,Nairobi Central Ward,POINT (36.824809527717356 -1.2852558043391356)
11,GOOD HEARTS AGROVET,Agricultural service,-1.2882382,36.8285738,POINT (36.8285738 -1.2882382),Nairobi,Starehe  Sub County,Nairobi Central Ward,POINT (36.824809527717356 -1.2852558043391356)
12,AECARE AGROVET LTD,Agrochemicals supplier,-1.2875561,36.8285822,POINT (36.8285822 -1.2875561),Nairobi,Starehe  Sub County,Nairobi Central Ward,POINT (36.824809527717356 -1.2852558043391356)
13,Guelph Enterprise Agrovet,Agricultural service,-1.281934,36.8262094,POINT (36.8262094 -1.281934),Nairobi,Starehe  Sub County,Nairobi Central Ward,POINT (36.824809527717356 -1.2852558043391356)
14,Jambar Agrovet Ltd,Agricultural product wholesaler,-1.2873912,36.8282582,POINT (36.8282582 -1.2873912),Nairobi,Starehe  Sub County,Nairobi Central Ward,POINT (36.824809527717356 -1.2852558043391356)
15,SHAMBA AGROVET,Farm equipment supplier,-1.2706541,36.846857,POINT (36.846857 -1.2706541),Nairobi,Kamukunji  Sub County,Eastleigh North Ward,POINT (36.847778519874915 -1.2730815078677313)
16,Nairobi Mega Agrovet Services Ltd,Veterinarian,-1.3271643,36.8519537,POINT (36.8519537 -1.3271643),Nairobi,Starehe  Sub County,Nairobi South Ward,POINT (36.85066239007016 -1.3196059930467552)
17,Limuru Agrovet Suppliers,Arborist service,-1.2836681,36.8248773,POINT (36.8248773 -1.2836681),Nairobi,Starehe  Sub County,Nairobi Central Ward,POINT (36.824809527717356 -1.2852558043391356)
18,Farmers Solution Agrovet,Veterinary care,-1.2855356,36.8232833,POINT (36.8232833 -1.2855356),Nairobi,Starehe  Sub County,Nairobi Central Ward,POINT (36.824809527717356 -1.2852558043391356)
19,Agro-Pests Solutions Agrovet (Githurai branch),Agrochemicals supplier,-1.2070373,36.9150568,POINT (36.9150568 -1.2070373),Kiambu,Ruiru Sub County,Mwiki Ward,POINT (36.92161543319148 -1.2126948080023345)
20,Nikifarmcare E A Ltd,General store,-1.2782927,36.8196975,POINT (36.8196975 -1.2782927),Nairobi,Starehe  Sub County,Nairobi Central Ward,POINT (36.824809527717356 -1.2852558043391356)
